Volume,Text No.,Text Title,Match with T Text? (1=yes 0=no 2 = ref),Quote in LS,Ch. in T Text,Quote in T Text,P. No. in T Text,UID,Start Index T,End Index T,Start Index LS,End Index LS
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_sna tshogs rig pa'i rtsal yin phyir:_rig pa stong pa nyid du grol:_dbang dang rgyal po ji bzhin no:_zhes pa'o,3,sna tshogs rig pa'i rtsal yin phyir/_/rig pa stong pa nyid du grol/_/dbang ldan rgyal po ji bzhin no/_,6,67563,4356,4458,21720,21845
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_ngo bo nyid la rgyun par gnas,3,/ngo bo nyid la rgyud mar gnas/_,6,11273,4458,4490,23226,23271
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_mthong thos bcangs pas sangs rgyas 'grub,48,mthong thos bcangs pas sangs rgyas 'grub/_/,153,97341,155856,155899,24255,24311
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_snod dang mi ldan gdams pa spel:_rdo rje'i dmyal bar lhung bar 'gyur,3,rang rig lug rgyud 'di bzhin gsal/_/,7,65363,23476,23512,24675,24759
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_snod dang mi ldan gdams pa spel:_rdo rje'i dmyal bar lhung bar 'gyur,50,snod dang mi ldan gdams pa spel/_/rdo rje'i dmyal bar ltung bar 'gyur,155,45192,5422,5491,24675,24759
5,4,btags grol rgyud drug gi ti ka,1,de yang klong gsal las: nyag gcig 'khor 'das kun gyi gzhi:_rang byung ye shes rang las byung :_de shes ye shes tsam du brjod:_ces so:,4,nyag gcig 'khor 'das kun gyi gzhi/_/rang byung ye shes rang las byung /_/de shes ye shes rtsal du brjod/_/y,7,32956,5753,5860,27078,27211
5,4,btags grol rgyud drug gi ti ka,1,de yang klong gsal las: nyag gcig 'khor 'das kun gyi gzhi:_rang byung ye shes rang las byung :_de shes ye shes tsam du brjod:_ces so:,51,yag gcig 'khor 'das _rgyu kun gyi gzhi/_/rang byung ye shes rang las byung /_/de shes ye shes rtsal yin te/_/,156,57239,159252,159361,27078,27211
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_chos rnams ma lus thams cad kun:_rtsa ba thig le gcig las gyes:_zhes so:,53,chos rnams ma lus thams cad kyang /_/rtsa ba thig le gcig la gyes/_,161,80434,5965,6032,28767,28855
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_theg pa'i chos rnams ngo bor rdzogs:_ngo bo chos rnams kun gyi don:_de med tshig sogs don med 'gyur:_zhes so:,4,thig le'i chos rnams ngo bor rdzogs/_/ngo lta _bo chos rnams kun gyi don/_/de med tshig sogs don med 'gyur/_/,8,15236,6033,6142,30278,30403
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_ma 'gags ye shes chen po nyid: rang gsal phyogs Ris 'dzin ba bral:_zhes so:,4,ma 'gag ye shes chen po nyid/_/rang gsal phyogs ris 'dzin pa grol/_/de las ma yengs rol par spyod/_/kun 'char spyod kyang mi chags so//,8,86823,6447,6582,31182,31273
5,4,btags grol rgyud drug gi ti ka,1,:_klong gsal las: stong gsal yid gnyis sgom dang bral:_sgom pa kun gyi mchog yin no:_zhes so:,4,stong gsal yid gnyis b+haiM dang bral/_/b+haiM pa kun gyi mchog yin no/_/,8,96009,6708,6781,31722,31815
5,4,btags grol rgyud drug gi ti ka,1,rgyud las:_rang rig rtogs pa dbang gi mchog:_zhu dang bskur ba'i thabs las 'das:_zhes so:,4,rang rig rtogs pas dbang don mchog_/zhu dang bskur ba'i mtha' las 'das/_/,8,19246,6781,6854,32037,32126
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_snying po'i rgyud 'dir su phrad pa:_rdzogs sangs rgya bar the tshom med:_ces so:,60,snying po'i rgyud 'dir su 'phrad pa/_/rdzogs sangs rgyas par the tshom med/_,173,88554,176606,176682,39505,39601
5,4,sras gcig sa bon rgyud kyi ti ka gsal byed nor bu’i phreng ba,1,klong gsal las:_de lta bu'i ye shes de ngo rang thog tu sprad pas:_gang shar sbrul mdud bzhin du grol:_ces so:_,5,de lta bu'i ye shes te/_/ngo bo rang thog don 'phrod pas/_/gang shar sprul mdud [13] bzhin du grol/_/,12-13,16493,10950,11051,42319,42430
5,4,sras gcig sa bon rgyud kyi ti ka gsal byed nor bu’i phreng ba,1,klong gsal las:_kun 'byung srid rtsa rtogs pas grol:_ces so:,5,_/kun 'byung srid rtsa rtogs pas grol/,13,99332,176841,176879,43210,43270
5,4,sras gcig sa bon rgyud kyi ti ka gsal byed nor bu’i phreng ba,1,klong gsal las:_rig pa rtogs tshe 'dzin pa grol:_ces so:,5,rig pa rtogs tshe 'dzin pa grol/,13,19964,11501,11533,46102,46158
5,4,’bras bu yongs rdzogs rgyud kyi ti ka gsal byed dri med snying po,1,klong gsal las:_snying nang yab yum zhi ba'i tshul:dung khang khro bo'i tshul du gnas:_zhes so:_,18,snying nang yab yum zhi ba'i tshul/_/dung khang khro bo'i tshul du gnas/_,67,69995,67730,67803,53171,53267
5,7,btags grol don khrid,1,klong gsal las:_gdams pa sbyor dngos rjes gsum mo:_zhes so:,61,gdams pa sbyor dngos rjes 'jug gsum//,175,66413,179239,179276,72124,72183
5,7,btags grol don khrid,1,klong gsal las:_spyi bo mgrin pa snying kha dang :_lte ba gsang ba rkang mthil duH:_a pre tri su nr-i du drug:_gnas so zhes pas ,8,spyi bo mgrin pa snying kha dang /_/lte ba gsang ba rkang mthil du/_/a tri nr-i su pre du drug,23,46905,21722,21816,72680,72808
5,7,btags grol don khrid,1,klong gsal las:_nyan thos zhi ba'i lta stangs kyis:_lus ngag yid gsum rnal du pheb:_ces so:,63,nyan thos zhi ba'i lta stangs kyis/_/lus ngag yid gsum rnal du phab/_/,179,14462,22082,22152,74613,74704
5,7,btags grol don khrid,1,klong gsal las:_tsak+Shu zim bus sUr+yaRa blta:[ · ]shar gyi rgyu skar bzhin du gsal:_zhes pas:,8,tsak+Shus zim bus suR+yar lta/_/shar gyi rgya skar bzhin du gsal/_/dbang po 'dug tshul sus gtad pas/_/phyi dbyings myur du mthong bar 'gyur/_/,23,74553,23090,23232,80802,80897
5,7,btags grol don khrid,1,:_klong gsal las:_rkyen bral gsum la gsal bar 'gyur:_zhes pas:,101,rkyen bral gsum la 'char bar 'gyur/,257,40681,263183,263218,413730,413792
5,7,btags grol don khrid,1,klong gsal las:_rang rig lug rgyud 'di bzhin gsal:_zhes pa dang :,8,rang rig lug rgyud 'di bzhin gsal/_/,25,17850,23476,23512,82349,82414
5,7,btags grol don khrid,1,klong gsal las:_gsal stong 'gag med lu gu rgyud:_gsal bde snang rig stong pa nyid:_dbyeRa med gsal ba ma 'dres gnas:_zhes paH:,63,gsal bde snang rig stong pa nyid/_/dbyer med gsal ba ma 'dres gnas/,179,78012,183141,183208,83053,83179
5,7,btags grol don khrid,1,klong gsal las:_rig gnad lug rgyud btson du bzung :_dngos snang dal ba nyid kyi brten:_zhes pa'o:,8,rig gnad lugs rgyud btson du bzung /_/mngon sum brdal ba nyid kyi rten/,25,62883,23747,23818,83464,83561
5,7,btags grol don khrid,1,klong gsal las:_blo ni kun rdzob 'khrul par shar:_zhes so:,8,blos bcas kun rdzob 'khrul bar bshad/,25,11265,24171,24208,85978,86036
5,7,btags grol don khrid,1,klong gsal las:_blo ni kun rdzob 'khrul par shar:_zhes so:,63,blo ni kun rdzob 'khrul par bshad/_/,179,34848,183353,183389,85978,86036
5,8,bde gshegs rigs lnga'i phyi sgrub,1,klong gsal las:_lus kyis khyab tshad thams cad la:[ ·]phung po lnga ni rigs lnga dngos:_khams lnga yum lnga nyid du gnas:_zhes pas:,11,lus kyi khyab tshad thams cad la//_phung po lnga ni rigs lnga dngos/_/khams lnga yum lnga nyid du gnas/_/,36,10854,35067,35172,91716,91847
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,1,klong gsal nyi ma'i rgyud dag las:_spros bcas bum pa phyi yi dbang :_sbros med nang gi gsang dbang dang : shin du spros med shes rab ye shes dbang :_yongs su spros med tshig dbang rin po che:_snod ldan bu la bskuRa phyiRa rim par bstan:_shes rab blo ldan snying rje can dang 'phrad par shog:_,101,spros bcas phyi'i bum dbang dang /_/spros med nang gi gsang dbang dang /_/shin tu spros med shes rab ye shes dbang /_/rab tu spros med tshig gi dbang /_/snod ldan bu la rim [255] bzhin bstan/_/mngon sum gnad du dbab pa'i phyir/_/spros med khyad par dbang lnga bskur/_/,,22427,260458,260726,97591,97883
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,1,klong gsal las:_mtshan nyid mi ldan bla mas ni:_dbang bskur byas na gnyis ka phung :_zhes pa dang :,62,mtshan nyid mi ldan bla mas ni/_/dbang bskur byas kyang gnyis ka phung /_/,,46652,180186,180260,98820,98919
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,1,klong gsal las:_mtshan nyid mi ldan bla mas ni:_dbang bskur byas na gnyis ka phung :_zhes pa dang :,51,mtshan nyid mi ldan bla ma yis/_/dbang bskur byas kyang gnyis ka phung /_/,,73011,159817,159891,98820,98919
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,1,mtshan nyid ldan pa'i bla mas ni:_dbang bskur bas ni sdug bsngal grol:_ces pa dang :,48,mtshan nyid ldan pa'i bla ma ni/_/dbang bskur bas na sdug bsngal grol/_/,,91089,155520,155592,99644,99728
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,1,klong gsal las:_snod dang mi ldan slob ma ni:_shes chung kha gsag gdong ltas che:_kha mkhas lag dam g.yo sgyu che:_bla ma'i gsung gcog drin la rtsod:_yon tan mi mthong skyon la rtog:_rigs rgyud ngang rgyud ngan pa dang :_bka' drin khyad gsod rang gis rang la bstod:_sdom dang dam tshig nyams len 'chal:_slob ma ma brtags slob dpon dgra:_nyams su mi len gang zag la:_rdzogs pa chen po'i dbang dang ni:_don dang gdams pa bstan mi bya:_zhes pas:,50,snod dang mi ldan slob ma ni/_/rigs ngan blo chung ngang rgyud thung /_/kha zol shes chung gdung ltas che/_/kha mkhas lag dam g.yo zog che//bla ma'i gsung gcog drin lan rtsod/_/yon tan mi mthong skyon la rtogs/_/rigs rgyud ngang rgyud ngan pa dang /_bka' drin khyad bsad rang la bstod/_/dam tshig nyams len phyal bar btang /_/de lta bu'i gang zag la/_/rdzogs pa chen po'i don mi bstan/_/,,75002,157077,157464,100334,100776
